timestamp,line_id,machine_id,product_id,cycle_time,temperature,pressure,production_time,defect,defect_type,energy_consuption,energy_per_product
2026-09-1,1,M01,P0,60.5,77.4,3.2,60.5,False,,12.1,0.2
2026-09-1,1,M01,P2,40.0,76.4,3.6,40.0,False,,23.9,0.6
2026-09-1,1,M01,P4,65.8,73.7,5.7,65.8,False,,19.7,0.3
2026-09-1,1,M01,P7,57.0,83.0,5.4,57.0,False,,12.3,0.2
2026-09-1,1,M01,P8,50.5,76.6,3.1,50.5,False,,14.1,0.3
2026-09-1,1,M01,P9,68.7,84.7,4.1,68.7,True,WELDING,22.5,0.3
2026-09-1,1,M01,P10,58.5,76.2,3.7,58.5,False,,23.2,0.4
2026-09-1,1,M01,P13,41.4,76.3,3.8,41.4,True,LOOSE,13.3,0.3
2026-09-1,1,M01,P14,45.1,79.4,5.5,45.1,True,PRESSURE,16.9,0.4
2026-09-1,1,M01,P15,49.3,77.7,2.9,49.3,False,,12.8,0.3
2026-09-1,1,M01,P16,65.0,84.7,3.7,65.0,False,,26.5,0.4
2026-09-1,1,M01,P17,63.1,89.9,6.0,63.1,False,,26.0,0.4
2026-09-1,1,M01,P18,54.9,75.5,4.8,54.9,False,,27.6,0.5
2026-09-1,1,M01,P19,57.7,84.8,3.4,57.7,False,,29.2,0.5
2026-09-1,1,M01,P20,48.4,88.8,2.8,48.4,False,,11.4,0.2
2026-09-1,1,M01,P21,59.6,82.4,2.3,59.6,False,,21.8,0.4
2026-09-1,1,M01,P22,61.4,78.3,2.4,61.4,False,,20.2,0.3
2026-09-1,1,M01,P23,57.0,82.0,2.4,57.0,False,,20.6,0.4
2026-09-1,1,M01,P24,40.2,79.9,3.0,40.2,False,,26.7,0.7
2026-09-1,1,M01,P25,49.1,77.5,3.9,49.1,False,,26.9,0.5
2026-09-1,1,M01,P26,65.9,80.5,4.4,65.9,False,,17.2,0.3
2026-09-1,1,M01,P27,61.4,85.0,4.3,61.4,False,,18.6,0.3
2026-09-1,1,M01,P28,64.1,88.0,3.3,64.1,False,,17.2,0.3
2026-09-1,1,M01,P30,52.8,82.7,3.6,52.8,False,,12.8,0.2
2026-09-1,1,M01,P31,40.0,70.0,2.1,40.0,False,,19.2,0.5
2026-09-1,1,M01,P32,42.2,70.1,4.7,42.2,False,,27.1,0.6
2026-09-1,1,M01,P33,54.3,73.8,2.3,54.3,False,,24.5,0.5
2026-09-1,1,M01,P34,42.8,82.6,4.3,42.8,False,,12.1,0.3
2026-09-1,1,M01,P35,61.7,70.6,3.3,61.7,False,,18.6,0.3
2026-09-1,1,M01,P36,62.6,79.8,3.3,62.6,False,,10.4,0.2
2026-09-1,1,M01,P37,50.3,86.8,5.5,50.3,False,,15.0,0.3
2026-09-1,1,M01,P38,52.7,77.3,2.0,52.7,False,,29.1,0.6
2026-09-1,1,M01,P39,63.3,79.3,4.5,63.3,True,CRACK,10.3,0.2
2026-09-1,1,M01,P40,66.2,78.3,5.7,66.2,False,,14.5,0.2
2026-09-1,1,M01,P41,55.3,71.7,3.5,55.3,False,,17.5,0.3
2026-09-1,1,M01,P42,42.1,77.2,5.5,42.1,False,,29.5,0.7
2026-09-1,1,M01,P43,61.8,85.9,3.4,61.8,False,,21.2,0.3
2026-09-1,1,M01,P44,43.5,82.5,5.2,43.5,False,,25.8,0.6
2026-09-1,1,M01,P45,68.4,74.2,3.9,68.4,False,,16.8,0.2
2026-09-1,1,M01,P46,49.8,79.7,2.2,49.8,False,,20.3,0.4
2026-09-1,1,M01,P47,60.6,83.8,4.2,60.6,False,,17.3,0.3
2026-09-1,1,M01,P48,56.1,83.6,2.9,56.1,False,,29.5,0.5
2026-09-1,1,M01,P49,62.9,85.6,3.8,62.9,False,,24.6,0.4
2026-09-1,1,M01,P50,48.0,77.3,4.0,48.0,False,,14.2,0.3
2026-09-1,1,M01,P52,58.3,77.9,2.3,58.3,False,,28.8,0.5
2026-09-1,1,M01,P53,65.5,71.1,4.3,65.5,False,,13.9,0.2
2026-09-1,1,M01,P54,44.0,71.6,2.1,44.0,False,,23.9,0.5
2026-09-1,1,M01,P55,68.6,88.3,4.6,68.6,False,,14.5,0.2
2026-09-1,1,M01,P56,69.4,71.0,5.3,69.4,False,,29.9,0.4
2026-09-1,1,M01,P57,56.7,70.5,5.6,56.7,False,,24.9,0.4
2026-09-1,1,M01,P58,67.4,76.2,4.9,67.4,True,WELDING,25.6,0.4
2026-09-1,1,M01,P59,66.3,74.0,4.1,66.3,True,LOOSE,27.9,0.4
2026-09-1,1,M01,P60,58.0,87.2,2.9,58.0,False,,17.4,0.3
2026-09-1,1,M01,P61,56.7,78.7,4.1,56.7,False,,21.1,0.4
2026-09-1,1,M01,P62,41.1,83.8,4.4,41.1,False,,26.2,0.6
2026-09-1,1,M01,P63,49.9,76.9,5.5,49.9,False,,12.3,0.2
2026-09-1,1,M01,P64,53.0,79.4,3.7,53.0,False,,24.4,0.5
2026-09-1,1,M01,P65,45.3,89.1,3.9,45.3,True,CRACK,29.1,0.6
2026-09-1,1,M01,P66,41.3,85.1,2.9,41.3,False,,19.7,0.5
2026-09-1,1,M01,P67,67.9,78.4,4.5,67.9,False,,16.4,0.2
2026-09-1,1,M01,P69,69.7,86.8,5.4,69.7,False,,20.3,0.3
2026-09-1,1,M01,P70,50.8,87.0,3.4,50.8,False,,16.1,0.3
2026-09-1,1,M01,P71,50.7,89.3,3.0,50.7,True,PRESSURE,10.3,0.2
2026-09-1,1,M01,P72,56.6,78.8,4.1,56.6,False,,22.2,0.4
2026-09-1,1,M01,P73,47.2,79.6,4.2,47.2,False,,26.4,0.6
2026-09-1,1,M01,P74,62.9,85.3,2.1,62.9,False,,23.5,0.4
2026-09-1,1,M01,P75,59.4,74.2,3.3,59.4,False,,29.9,0.5
2026-09-1,1,M01,P78,42.0,85.0,3.3,42.0,False,,12.3,0.3
2026-09-1,1,M01,P80,45.7,72.0,3.5,45.7,False,,23.3,0.5
2026-09-1,1,M01,P82,49.0,76.3,5.6,49.0,False,,13.4,0.3
2026-09-1,1,M01,P83,49.7,78.1,5.5,49.7,False,,19.1,0.4
2026-09-1,1,M01,P84,50.0,75.6,3.5,50.0,False,,20.5,0.4
2026-09-1,1,M01,P85,65.4,80.8,2.6,65.4,False,,15.0,0.2
2026-09-1,1,M01,P86,56.0,77.6,5.3,56.0,False,,25.0,0.4
2026-09-1,1,M01,P87,60.6,75.9,3.4,60.6,False,,28.7,0.5
2026-09-1,1,M01,P88,67.3,75.9,2.8,67.3,False,,27.0,0.4
2026-09-1,1,M01,P89,62.5,72.3,4.4,62.5,False,,13.8,0.2
2026-09-1,1,M01,P92,49.4,78.2,5.3,49.4,False,,29.3,0.6
2026-09-1,1,M01,P93,64.9,79.3,3.7,64.9,False,,28.7,0.4
2026-09-1,1,M01,P95,65.2,74.7,5.3,65.2,False,,26.6,0.4
2026-09-1,1,M01,P96,59.2,70.6,4.8,59.2,False,,27.1,0.5
2026-09-1,1,M01,P97,66.0,81.7,4.6,66.0,False,,28.7,0.4
2026-09-1,1,M01,P98,51.0,87.2,2.4,51.0,False,,20.3,0.4
2026-09-1,1,M01,P99,41.7,90.0,2.3,41.7,False,,21.5,0.5
2026-09-1,1,M01,P100,49.7,77.7,4.5,49.7,False,,10.4,0.2
2026-09-1,1,M01,P101,47.2,73.3,4.5,47.2,False,,15.3,0.3
2026-09-1,1,M01,P102,64.5,83.8,2.1,64.5,False,,10.2,0.2
2026-09-1,1,M01,P103,49.3,77.4,2.9,49.3,False,,26.8,0.5
2026-09-1,1,M01,P104,50.8,70.9,3.5,50.8,False,,12.4,0.2
2026-09-1,1,M01,P106,45.2,74.1,3.8,45.2,False,,19.9,0.4
2026-09-1,1,M01,P107,57.6,78.5,4.2,57.6,False,,22.7,0.4
2026-09-1,1,M01,P108,50.9,74.6,5.8,50.9,False,,10.7,0.2
2026-09-1,1,M01,P109,49.2,85.2,5.2,49.2,False,,29.0,0.6
2026-09-1,1,M01,P110,66.3,85.8,5.2,66.3,False,,17.3,0.3
