timestamp,line_id,machine_id,product_id,cycle_time,temperature,pressure,production_time,defect,defect_type,energy_consuption
2026-09-17,01,M01,P0,63.6,75.2,4.8,63.6,False,,19.0
2026-09-17,01,M01,P1,69.7,83.1,2.8,69.7,False,,23.9
2026-09-17,01,M01,P2,54.7,79.8,5.6,54.7,True,PRESSURE,17.1
2026-09-17,01,M01,P3,55.6,72.9,2.1,55.6,False,,17.6
2026-09-17,01,M01,P4,49.7,82.6,2.6,49.7,False,,25.2
2026-09-17,01,M01,P5,69.6,82.3,5.6,69.6,False,,13.8
2026-09-17,01,M01,P6,55.0,78.5,2.6,55.0,False,,16.8
2026-09-17,01,M01,P7,49.3,77.4,4.0,49.3,False,,28.5
2026-09-17,01,M01,P8,40.7,74.5,4.3,40.7,False,,17.2
2026-09-17,01,M01,P9,64.5,72.8,,64.5,False,,20.0
2026-09-17,01,M01,P10,41.0,85.3,5.3,41.0,False,,20.7
2026-09-17,01,M01,P11,68.9,81.6,2.4,68.9,False,,19.0
2026-09-17,01,M01,P12,51.7,76.2,2.2,51.7,False,,18.0
2026-09-17,01,M01,P13,66.4,77.5,,66.4,False,,24.9
2026-09-17,01,M01,P14,47.9,79.6,2.4,47.9,False,,21.0
2026-09-17,01,M01,P15,44.0,82.6,3.1,44.0,False,,23.3
2026-09-17,01,M01,P16,40.5,84.2,2.9,40.5,False,,29.1
2026-09-17,01,M01,P17,60.1,73.6,5.4,60.1,False,,28.4
2026-09-17,01,M01,P18,40.7,80.6,2.2,40.7,False,,15.5
2026-09-17,01,M01,P19,51.2,86.1,3.4,51.2,False,,24.3
2026-09-17,01,M01,P20,58.1,79.9,2.0,58.1,False,,11.8
2026-09-17,01,M01,P21,47.1,82.6,5.3,47.1,False,,15.8
2026-09-17,01,M01,P22,51.9,80.1,2.3,51.9,True,PRESSURE,26.1
2026-09-17,01,M01,P23,50.9,74.0,5.1,50.9,False,,23.8
2026-09-17,01,M01,P24,48.0,71.7,4.2,48.0,False,,17.8
2026-09-17,01,M01,P25,40.6,87.4,4.8,40.6,False,,27.4
2026-09-17,01,M01,P26,45.1,79.3,2.5,45.1,True,LOOSE,15.8
2026-09-17,01,M01,P27,46.5,75.7,3.7,46.5,False,,29.2
2026-09-17,01,M01,P28,42.6,82.7,5.1,42.6,False,,20.9
2026-09-17,01,M01,P29,69.7,89.9,5.8,69.7,False,,25.9
2026-09-17,01,M01,P30,53.2,86.2,5.8,53.2,False,,22.5
2026-09-17,01,M01,P31,60.7,79.3,4.1,60.7,False,,24.5
2026-09-17,01,M01,P32,44.4,70.6,4.2,44.4,False,,29.1
2026-09-17,01,M01,P33,57.9,77.1,2.8,57.9,False,,28.3
2026-09-17,01,M01,P34,69.9,78.4,,69.9,False,,16.6
2026-09-17,01,M01,P35,49.6,89.5,4.8,49.6,False,,11.5
2026-09-17,01,M01,P36,66.5,87.1,3.0,66.5,False,,23.0
2026-09-17,01,M01,P37,47.0,82.0,5.7,47.0,False,,26.7
2026-09-17,01,M01,P38,59.2,75.7,,59.2,False,,29.9
2026-09-17,01,M01,P39,44.9,73.4,,44.9,False,,29.7
2026-09-17,01,M01,P40,59.8,71.0,2.9,59.8,False,,24.5
2026-09-17,01,M01,P41,45.6,82.3,4.0,45.6,False,,17.3
2026-09-17,01,M01,P42,51.0,89.4,5.5,51.0,False,,18.3
